Departamento,Provincia,Municipio,Ciudad / Comunidad,Total Asistencia Escolar,"Si, auna pública","Si, a una privada","Si, a una de convenio",No asiste,Sin especificar,Total Idioma Aprendido,Castellano,Quechua,Aymara,Guaraní,Otros Idiomas Oficiales,Otros Idiomas,Idioma extranjero,Sin especificar,No habla
La Paz,Murillo,Palca,MUTUHUAYA BAJA,30,24,0,0,3,3,78,21,0,53,0,0,0,0,3,1
La Paz,Murillo,Palca,CHAJJA,53,36,4,0,13,0,162,49,0,59,0,0,0,0,41,13
La Paz,Murillo,Palca,HUCHUPAMPA,64,45,0,0,19,0,167,90,1,70,0,0,0,0,0,6
La Paz,Murillo,Palca,TARUJUMAÑA,23,20,0,1,2,0,55,17,0,36,0,0,0,0,1,1
La Paz,Murillo,Palca,ZONA ZONA,14,10,0,0,4,0,62,32,0,26,0,0,0,0,0,4
La Paz,Murillo,Palca,ARAMANI,104,91,2,2,8,1,323,110,1,199,1,0,0,0,4,8
La Paz,Murillo,Palca,COHANI,10,5,1,1,3,0,36,0,2,15,0,1,0,0,15,3
La Paz,Murillo,Palca,PARUÑA,74,56,0,0,17,1,224,18,0,189,0,0,0,0,9,8
La Paz,Murillo,Palca,PUSQUIRI,16,15,0,0,1,0,61,19,0,38,0,0,0,0,0,4
La Paz,Murillo,Palca,TACACHIA,41,34,0,0,7,0,122,51,1,62,0,0,0,0,1,7
La Paz,Murillo,Palca,UNNA,47,31,0,0,16,0,161,10,2,134,0,1,0,0,6,8
La Paz,Murillo,Palca,YAJACHI,41,22,0,1,16,2,144,6,0,106,0,0,0,0,20,12
La Paz,Murillo,Palca,PINAYA,75,51,2,9,13,0,294,13,0,265,0,0,0,0,6,10
La Paz,Murillo,Palca,QUILLIHUAYA,19,16,1,0,2,0,103,10,0,88,0,0,0,0,0,5
La Paz,Murillo,Palca,LACAYANI,66,54,0,1,11,0,213,17,1,185,0,0,0,0,1,9
La Paz,Murillo,Palca,MILLA MILLA,56,39,0,1,16,0,147,2,0,141,0,0,0,0,1,3
La Paz,Murillo,Mecapaca,ANANTA,54,36,7,0,10,1,179,3,0,48,11,12,0,0,92,13
La Paz,Murillo,Mecapaca,AVIRCATO,142,81,13,33,14,1,628,409,2,177,0,1,0,0,10,29
La Paz,Murillo,Mecapaca,CHOJO,47,40,1,0,6,0,149,64,2,73,0,0,0,0,2,8
La Paz,Murillo,Mecapaca,CONCHA MARCA,8,6,1,0,1,0,27,0,0,26,0,0,0,0,0,1
La Paz,Murillo,Mecapaca,HUAYHUASI,196,153,8,12,21,2,712,424,2,257,0,0,0,2,7,20
La Paz,Murillo,Mecapaca,MILLOCATO,145,114,1,2,26,2,499,219,1,257,0,0,0,2,8,12
La Paz,Murillo,Mecapaca,PEÑOL,17,14,0,0,3,0,49,36,0,12,0,0,0,0,0,1
La Paz,Murillo,Mecapaca,YANARI ALTO,47,38,0,2,7,0,162,29,0,129,0,0,0,0,3,1
La Paz,Murillo,Mecapaca,YANARI BAJO,14,12,1,0,1,0,99,13,0,83,0,0,0,0,1,2
La Paz,Murillo,Mecapaca,EL PALOMAR,286,242,13,2,26,3,1077,692,7,334,0,0,0,1,8,35
La Paz,Murillo,Mecapaca,HUAJCHILLA,277,151,36,58,29,3,1078,760,8,273,0,0,0,4,6,27
La Paz,Murillo,Mecapaca,HUARICANA ALTA,211,117,11,68,15,0,767,499,1,246,0,1,0,0,5,15
La Paz,Murillo,Mecapaca,HUARICANA BAJO,145,97,4,28,16,0,479,262,1,202,0,0,0,0,4,10
La Paz,Murillo,Mecapaca,LAS CARRERAS,261,145,44,43,23,6,980,714,10,201,0,0,0,15,7,33
La Paz,Murillo,Mecapaca,MECAPACA,321,180,84,23,27,7,1134,790,10,263,2,0,0,16,12,41
La Paz,Murillo,Mecapaca,TAYPICHULO,223,110,50,49,14,0,789,608,5,141,0,1,0,5,4,25
La Paz,Murillo,Mecapaca,YUPAMPA VALENCIA,246,155,40,27,23,1,974,656,18,253,0,1,0,6,15,25
La Paz,Murillo,Mecapaca,HUANCARANI,31,11,2,15,3,0,92,63,0,29,0,0,0,0,0,0
La Paz,Murillo,Mecapaca,LIPARI BAJO,26,18,6,1,1,0,105,72,1,22,0,0,0,6,1,3
La Paz,Murillo,Mecapaca,UNCURA,85,72,0,1,12,0,252,59,0,166,0,1,0,0,12,14
La Paz,Murillo,Mecapaca,HUERTA MAMANIRI,101,80,6,4,9,2,323,157,0,150,0,0,0,0,4,12
La Paz,Murillo,Mecapaca,CACHAPA ALTO,1,0,0,0,1,0,30,1,0,29,0,0,0,0,0,0
La Paz,Murillo,Mecapaca,LIPARI ALTO,43,32,1,9,1,0,203,123,2,68,0,0,0,1,0,9
La Paz,Murillo,Mecapaca,HUARICANA SATELITE,44,31,6,0,6,1,183,105,0,76,0,0,0,0,0,2
La Paz,Murillo,Mecapaca,JANCO KAHUA,39,33,0,0,6,0,140,14,0,111,0,0,0,0,11,4
La Paz,Murillo,Mecapaca,SACANI,12,7,3,0,2,0,39,8,0,29,0,0,0,0,0,2
La Paz,Murillo,Mecapaca,TOTORANI,75,60,1,2,12,0,309,47,0,250,0,0,0,0,0,12
La Paz,Murillo,Mecapaca,ÑUÑUMAYANI,96,81,2,0,12,1,319,62,1,246,0,0,0,0,1,9
La Paz,Murillo,Mecapaca,LLUTO,79,67,0,4,8,0,284,45,1,232,0,0,0,0,3,3
La Paz,Murillo,Mecapaca,SANTIAGO DE COLLANA,272,245,7,0,19,1,931,274,4,618,0,0,0,1,7,27
La Paz,Murillo,Mecapaca,COLQUECHATA,36,32,2,1,1,0,105,21,0,81,0,0,0,0,0,3
La Paz,Murillo,Mecapaca,AZUPACA,32,25,0,0,7,0,113,9,0,100,0,0,0,0,1,3
La Paz,Murillo,Mecapaca,BERENGUELA,20,15,0,0,5,0,69,6,0,58,0,0,0,0,1,4
La Paz,Murillo,Mecapaca,CAHUAYUMA,16,10,1,3,2,0,65,31,0,31,0,0,0,0,1,2
La Paz,Murillo,Mecapaca,CHANCA,103,89,5,3,6,0,390,61,0,306,0,0,0,0,3,20
La Paz,Murillo,Mecapaca,CARACARANI,8,4,0,0,4,0,26,3,0,21,0,0,0,0,0,2
La Paz,Murillo,Mecapaca,ILAVI,53,43,0,1,9,0,194,9,0,169,0,0,0,0,7,9
La Paz,Murillo,Mecapaca,KERA,88,72,6,1,9,0,261,92,0,161,0,0,0,0,0,8
La Paz,Murillo,Mecapaca,MILLUACHU,19,12,0,0,5,2,62,11,0,47,0,0,0,0,2,2
La Paz,Murillo,Mecapaca,TOTORA,23,20,0,0,3,0,79,24,0,54,0,0,0,0,0,1
