Departamento,Provincia,Municipio,Ciudad / Comunidad,Total,Cañería de red,Pileta pública,Carro repartidor (aguatero),Pozo o noria con bomba,Pozo o noria sin bomba,"Lluvia, río, vertiente, acequia","Lago, laguna, curichi",Total,Al alcantarillado,A una cámara séptica,A un pozo ciego,A la calle,"A la quebrada, río","A un lago, laguna, curichi",Total,Red de empresa eléctrica (servicio público),Motor propio,Panel solar,Otra,No tiene
Chuquisaca,Oropeza,Sucre,BELLA VISTA,49,32,1,0,1,2,13,0,29,0,0,28,0,1,0,49,40,0,0,0,9
Chuquisaca,Oropeza,Sucre,CHAUPI MOLINO,46,0,25,0,0,0,21,0,15,0,1,14,0,0,0,46,23,0,0,1,22
Chuquisaca,Oropeza,Sucre,COMPUERTA,62,30,5,0,0,0,27,0,36,0,0,36,0,0,0,62,49,0,0,0,13
Chuquisaca,Oropeza,Sucre,CHAURURO,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8
Chuquisaca,Oropeza,Sucre,HUAÑOMA,11,4,0,0,0,1,6,0,0,0,0,0,0,0,0,11,0,0,0,0,11
Chuquisaca,Oropeza,Sucre,SOTANI,42,22,1,0,1,0,18,0,6,0,0,6,0,0,0,42,25,0,0,0,17
Chuquisaca,Oropeza,Sucre,FALAFAYA,12,0,0,0,0,3,9,0,0,0,0,0,0,0,0,12,0,0,0,0,12
Chuquisaca,Oropeza,Sucre,THACOYU,23,0,0,0,0,0,23,0,2,0,0,2,0,0,0,23,22,0,0,0,1
Chuquisaca,Oropeza,Sucre,EL TUNAL,17,8,0,0,0,0,9,0,0,0,0,0,0,0,0,17,2,0,0,0,15
Chuquisaca,Oropeza,Sucre,MELONAR,12,0,2,0,0,2,8,0,0,0,0,0,0,0,0,12,2,0,3,0,7
Chuquisaca,Oropeza,Sucre,KHULLKU TAMBO,37,1,0,0,1,0,35,0,6,0,3,3,0,0,0,37,11,0,0,0,26
Chuquisaca,Oropeza,Sucre,SOICO,42,22,2,0,0,0,17,1,0,0,0,0,0,0,0,42,21,0,0,0,21
Chuquisaca,Oropeza,Sucre,VALLE HERMOSO,25,11,5,0,0,0,9,0,0,0,0,0,0,0,0,25,16,0,0,0,9
Chuquisaca,Oropeza,Sucre,SEWENKANI,15,0,0,0,0,0,15,0,13,0,0,4,0,9,0,15,12,0,0,0,3
Chuquisaca,Oropeza,Sucre,VILCA LATA,29,13,4,0,0,0,12,0,5,0,0,5,0,0,0,29,11,0,0,0,18
Chuquisaca,Oropeza,Sucre,PERAS PAMPA,18,1,0,0,0,0,4,13,3,0,0,3,0,0,0,18,17,0,0,0,1
Chuquisaca,Oropeza,Sucre,PATA KATALLA,33,0,0,0,0,0,29,4,0,0,0,0,0,0,0,33,0,0,0,0,33
Chuquisaca,Oropeza,Sucre,LIMON PAMPA,10,0,0,0,2,1,7,0,3,0,2,1,0,0,0,10,8,0,0,0,2
Chuquisaca,Oropeza,Sucre,OVEJERIAS,41,16,0,0,1,2,22,0,12,0,0,12,0,0,0,41,22,0,0,0,19
Chuquisaca,Oropeza,Sucre,KACHA KACHA,79,67,2,0,0,0,10,0,52,14,19,18,1,0,0,79,68,0,0,0,11
Chuquisaca,Oropeza,Sucre,PORONGO,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,18
Chuquisaca,Oropeza,Sucre,SACRAMENTO,19,15,3,0,0,0,1,0,10,0,10,0,0,0,0,19,19,0,0,0,0
